,pat_id,asd,dice,hd,jc,vol_gt,vol_pred,dice_mean,dice_std,hd_mean,hd_std,Pearson correlation coefficient between vol_gt and vol_pred
27,Interrsect_01-009_3.nii.gz,0.649609024,0.39800995,2.487383481,0.248447205,0.010431671,0.008123779,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
28,Interrsect_01-033_4.nii.gz,0.36798696,0.691358025,1.525456598,0.528301887,0.021232605,0.016155243,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
29,Interrsect_01-055_4.nii.gz,0.381725897,0.610169492,2,0.43902439,0.012831879,0.00895462,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
30,Interrsect_01-073_3.nii.gz,0.509746201,0.679089027,1.414213562,0.514106583,0.023448181,0.021140289,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
31,Interrsect_01-104_3.nii.gz,0.21767767,0.579591837,3.16227766,0.408045977,0.030508501,0.014792,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
32,Interrsect_01-220_3.nii.gz,3.650276757,0.608108108,2.449489743,0.436893204,0.021819376,0.015513198,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
33,Interrsect_01-231_3.nii.gz,0.429185092,0.734835355,1.414213562,0.580821918,0.040233416,0.032539879,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
34,Interrsect_01-263_4.nii.gz,0.5952859,0.673469388,1.352081528,0.507692308,0.014630333,0.022449994,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
35,Interrsect_01-311_3.nii.gz,0.586557256,0.710472279,1.414213562,0.550955414,0.026990442,0.034431732,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
36,Prove-It-01-070_4.nii.gz,0.315789474,0.699324324,2.236067977,0.537662338,0.043386505,0.031278643,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
37,Prove-It-01-128_4.nii.gz,0.43309362,0.743703704,1.414213562,0.591981132,0.048557571,0.036575833,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
38,Prove-It-01-174_4.nii.gz,0.60540472,0.669014085,1.414213562,0.502645503,0.013873592,0.0219455,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
39,Prove-It-01-190_3.nii.gz,2.83542278,0.4375,7.071067812,0.28,0.035919991,0.054485379,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
40,Prove-It-01-194_3.nii.gz,0.763149972,0.60989011,2.278752331,0.438735178,0.019423029,0.026485948,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
41,Prove-It-01-198_3.nii.gz,0.494658431,0.757009346,1.414213562,0.609022556,0.025981454,0.027999431,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
42,Prove-It-01-276_3.nii.gz,0.330448155,0.747035573,1.414213562,0.596214511,0.03468398,0.029134543,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
43,Prove-It-01-434_3.nii.gz,0.699839345,0.291718171,8.056031973,0.170767004,0.087151381,0.01488258,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
44,Prove-It-02-021_3.nii.gz,0.345454545,0.665546218,2.449489743,0.498740554,0.057667438,0.030994385,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
45,qc11_da_3.nii.gz,0.663368752,0.246376812,5,0.140495868,0.044143247,0.008071908,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
46,qc17_msk_3.nii.gz,0.603463158,0.657060519,1.414213562,0.489270386,0.023332859,0.020432017,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
47,qc17_msk_4.nii.gz,0.333333333,0.75739645,1,0.60952381,0.023585106,0.019044658,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
48,qc18_mm_3.nii.gz,0.305366631,0.776119403,1,0.634146341,0.033674991,0.02547696,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
49,qc20_sdd_3.nii.gz,0.529121767,0.799212598,1.414213562,0.66557377,0.065079758,0.063061781,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
50,qc21_tll_4.nii.gz,0.281179237,0.806896552,1,0.676300578,0.019170781,0.017405052,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
51,qc23_vrp_3.nii.gz,0.260869565,0.782396088,1.414213562,0.642570281,0.027494937,0.0240896,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
52,qc24_wje_3.nii.gz,0.523846779,0.818565401,1.414213562,0.692857143,0.069998577,0.079457844,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
53,qc25_wsl_3.nii.gz,0.376943822,0.804651163,1,0.673151751,0.026612072,0.02762106,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
54,qc25_wsl_4.nii.gz,1.51306938,0.289156627,3,0.169014085,0.007819661,0.023585106,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
55,qc3_amc_3.nii.gz,2.191429143,0.415841584,5.718250127,0.2625,0.031657014,0.019296905,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
56,qc4_bjk_3.nii.gz,0.697868027,0.639175258,1.414213562,0.46969697,0.009459267,0.015008704,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
57,quicker_qc14_jc_3.nii.gz,0.835309257,0.523809524,2.828427125,0.35483871,0.019675276,0.017405052,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
58,quicker_qc2_aom_3.nii.gz,NA,NA,NA,NA,NA,NA,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
59,quicker_qc2_aom_4.nii.gz,0.713356228,0.652806653,1.414213562,0.484567901,0.024972465,0.035692968,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
60,quicker_qc5_bnc_3.nii.gz,0.426578605,0.669387755,1.414213562,0.503067485,0.015765445,0.015134827,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
