,pat_id,asd,dice,hd,jc,vol_gt,vol_pred
0,Doubt_01-029_3.nii.gz,0.36718916002607793,0.7038327526132404,2.0236067977499776,0.543010752688172,0.01532440185546875,0.011170196533203124
1,Doubt_06-017_3.nii.gz,0.5936508008331864,0.7240618101545254,1.4142135623730951,0.5674740484429066,0.044336731673764236,0.04886298734347567
2,Escape-01-005_3.nii.gz,0.49170934340421996,0.7984790874524715,1.0,0.6645569620253164,0.02888229574892552,0.03745869798004751
3,Escape-01-026_3.nii.gz,0.6955763742189713,0.7379679144385026,1.7161589453090844,0.5847457627118644,0.01967527570669162,0.02749493656447932
4,Escape-01-028_3.nii.gz,0.44426868350216914,0.7214854111405835,2.0472135954999553,0.5643153526970954,0.05940419780674201,0.03569296810893416
5,Escape-01-055_3.nii.gz,0.3188405797101449,0.7986348122866894,1.0,0.6647727272727273,0.03909830428893848,0.03481010317337749
6,Escape-03-012_3.nii.gz,0.4001128060505801,0.6285714285714286,1.9464101615137785,0.4583333333333333,0.037944793701171875,0.027477264404296875
7,Escape-06-002_4.nii.gz,0.7295595755625797,0.25699481865284973,9.077303505401002,0.14744351961950058,0.11061640292219818,0.021739243475720288
8,Escape-08-030_3.nii.gz,0.5347619592859962,0.706504494976203,3.0,0.5461978740801309,0.08059230200015008,0.051929474593140186
9,Escape-08-033_4.nii.gz,0.37644428980428146,0.8017057569296375,1.0,0.6690391459074733,0.026259440769441426,0.024842956412583588
10,Escapena1_01-016+_4.nii.gz,1.076401403374494,0.4507361268403171,3.5348264453008715,0.2909356725146199,0.07617863158231884,0.03518847386004463
11,Escapena1_01-082+_3.nii.gz,0.35455320217950465,0.7766143106457243,2.0,0.6348074179743224,0.0793317206378784,0.06520588166897158
12,Escapena1_02-012+_3.nii.gz,0.5555156998378245,0.5517241379310345,2.563170957372086,0.38095238095238093,0.03892973541794345,0.02604651362495497
13,Escapena1_02-018_3.nii.gz,1.010055578273826,0.6088992974238876,3.0,0.4377104377104377,0.020365980148315428,0.03684634566307068
14,Escapena1_02-052+_4.nii.gz,0.3942351670314216,0.6529209621993127,2.8284271247461903,0.4846938775510204,0.040183457537088546,0.029008176446892322
15,Escapena1_05-041+_4.nii.gz,0.6801927646770525,0.738255033557047,1.684375220789499,0.5851063829787234,0.025138448861514916,0.028562323616846696
16,Escapena1_07-012_4.nii.gz,0.6503430206254923,0.5107011070110701,4.242640687119285,0.34291377601585726,0.08387819476239688,0.03563279777498249
17,Escapena1_08-007+_3.nii.gz,0.6735274366072019,0.6219653179190752,2.23606797749979,0.4513422818791946,0.07927410013509942,0.049620818317646816
18,Escapena1_13-001+_4.nii.gz,0.6589147796705865,0.7058823529411765,1.7320508075688772,0.5454545454545454,0.016693695068359375,0.020392866134643556
19,Escapena1_14-027+_4.nii.gz,0.35596608029822335,0.6852589641434262,2.6389584337646843,0.5212121212121212,0.044405416992969224,0.0303983391495494
20,Escapena1_14-043_4.nii.gz,0.619210578661605,0.5300207039337475,3.0,0.36056338028169016,0.044405416992969224,0.027567121287581563
21,Escapena1_21-013+_4.nii.gz,0.4864864864864865,0.5598086124401914,2.23606797749979,0.38870431893687707,0.03993507300038843,0.02235171996290397
22,Escapena1_28-018_3.nii.gz,4.340611800896619,0.35013262599469497,11.575836902790225,0.21221864951768488,0.03137547302246094,0.09719575881958008
23,Escapena1_28-041_3.nii.gz,0.41398401554701886,0.5162393162393163,3.1622776601683795,0.347926267281106,0.07014149856567382,0.029211471557617188
