,pat_id,asd,dice,hd,jc,vol_gt,vol_pred,dice_mean,dice_std,hd_mean,hd_std,Pearson correlation coefficient between vol_gt and vol_pred
0,qc11_da_1.nii.gz,3.139367313565251,0.762214983713355,3.0,0.6157894736842106,0.04414324677783377,0.033296620426708896,0.6199173101745638,0.1649713303992105,34.15801450528117,52.07323884926822,"[[1.         0.75382632]
 [0.75382632 1.        ]]"
1,qc11_da_2.nii.gz,70.43409148078304,0.5357575757575758,139.5578632323989,0.3658940397350993,0.04414324677783377,0.05990869205563154,0.6199173101745638,0.1649713303992105,34.15801450528117,52.07323884926822,"[[1.         0.75382632]
 [0.75382632 1.        ]]"
2,qc17_msk_1.nii.gz,21.986149765302034,0.6633165829145728,116.26327784690837,0.49624060150375937,0.023332859011140704,0.02686431875336741,0.6199173101745638,0.1649713303992105,34.15801450528117,52.07323884926822,"[[1.         0.75382632]
 [0.75382632 1.        ]]"
3,qc17_msk_2.nii.gz,61.26026227440387,0.5595567867036011,139.89281611290838,0.38846153846153847,0.023585106135585468,0.0219454998266945,0.6199173101745638,0.1649713303992105,34.15801450528117,52.07323884926822,"[[1.         0.75382632]
 [0.75382632 1.        ]]"
4,qc18_mm_1.nii.gz,0.271356783919598,0.8364312267657993,1.0,0.7188498402555911,0.033674991113376046,0.034179485362265574,0.6199173101745638,0.1649713303992105,34.15801450528117,52.07323884926822,"[[1.         0.75382632]
 [0.75382632 1.        ]]"
5,qc20_sdd_1.nii.gz,0.44162461306539674,0.8426013195098964,1.0,0.7280130293159609,0.06507975810674921,0.06873734141119829,0.6199173101745638,0.1649713303992105,34.15801450528117,52.07323884926822,"[[1.         0.75382632]
 [0.75382632 1.        ]]"
6,qc21_tll_2.nii.gz,0.6120851370143499,0.44976076555023925,2.23606797749979,0.29012345679012347,0.019170781457802093,0.007189043046675785,0.6199173101745638,0.1649713303992105,34.15801450528117,52.07323884926822,"[[1.         0.75382632]
 [0.75382632 1.        ]]"
7,qc23_vrp_1.nii.gz,0.45189023407947243,0.8047337278106509,1.0,0.6732673267326733,0.02749493656447932,0.03644970948226845,0.6199173101745638,0.1649713303992105,34.15801450528117,52.07323884926822,"[[1.         0.75382632]
 [0.75382632 1.        ]]"
8,qc24_wje_1.nii.gz,0.430449691458585,0.845360824742268,1.0,0.7321428571428571,0.06999857703342212,0.07680924939343074,0.6199173101745638,0.1649713303992105,34.15801450528117,52.07323884926822,"[[1.         0.75382632]
 [0.75382632 1.        ]]"
9,quicker_qc2_aom_1.nii.gz,0.46285393610547093,0.32413793103448274,4.086173937932361,0.1934156378600823,0.029765160684482195,0.006810672360008639,0.6199173101745638,0.1649713303992105,34.15801450528117,52.07323884926822,"[[1.         0.75382632]
 [0.75382632 1.        ]]"
